evidence_id,title,source_url,local_path,source_tier,content_type,evidence_layer,visual_category,channel,era_or_date,captured_at,market,language,creator_or_agency,relevance,reliability,rights_notes,status,related_ids,inclusion_reason,notes
EV-001,About Us and Manifesto,https://www.lelabofragrances.com/about-us.html,,primary,official_page,strategy-and-verbal,,official website,current,2026-08-24,Global,English,Le Labo,Origin manifesto craft portfolio and roots,Current first-party masterbrand page,First-party page used for citation,included,EV-007|EV-008|EV-009,Primary strategy and craft source,No historical completeness claim
EV-002,SANTAL 33 Eau de Parfum,https://www.lelabofragrances.com/santal-33-147.html?size=50ml,,primary,official_product_page,verbal-and-product,,official PDP,current,2026-08-24,United States,English,Le Labo,Naming narrative ingredients and personalization,Current first-party PDP,First-party page used for citation,included,EV-010,Primary product and verbal source,Ingredient list is dated and product-specific
EV-003,Refill Program FAQ,https://www.lelabofragrances.com/faq/refill-program.html,,primary,official_service_page,service-and-behavior,,official FAQ,current,2026-08-24,United States and participating labs,English,Le Labo,Refill invariants relabeling maceration and recovery,Current first-party FAQ,First-party page used for citation,included,EV-012,Primary post-purchase source,Eligibility varies by market size scent and channel
EV-004,Classic Collection Discovery Set,https://www.lelabofragrances.com/discovery-sets/classic-collection/discovery-set/17-8.html,,primary,official_product_page,portfolio-and-packaging,,official PDP,current,2026-08-24,United States,English,Le Labo,Sampling progression kraft packaging and personalization,Current first-party PDP,First-party page used for citation,included,EV-012,Primary discovery source,Availability may change
EV-005,Official masterbrand wordmark,https://www.lelabofragrances.com/css/images/logonew.png,evidence/visuals/EV-LL-001-masterbrand-wordmark.png,primary,image_candidate,identity-and-channel-tokens,masterbrand-wordmark,official website,current,2026-08-24,United States,English,Le Labo,Verified current masterbrand mark,Direct first-party asset,Research use only; copyrighted,included,,Required report identity,Transparent PNG
EV-006,About navigation key visual,https://lelabo.ips.photos/lelabo-java/images/content/1657_ONE_SIZE_IMAGE_01_15948_-1989191555.jpg,evidence/visuals/EV-LL-002-about-navigation-key-visual.jpg,primary,image_candidate,key-visual,digital-navigation-editorial-tile,official website,current,2026-08-24,United States,English,Le Labo,Navigation key visual and editorial object,Direct first-party CDN asset,Research use only; copyrighted,included,EV-011,UI and content translation,Authorship not listed
EV-007,Roots first lab,https://lelabo.ips.photos/lelabo-java/images/cms/7_ONE_SIZE_IMAGE_02_12241_-354847209.jpg,evidence/visuals/EV-LL-004-roots-first-lab.jpg,primary,image_candidate,space-and-service,laboratory-store-origin,official About page,origin,2026-08-24,United States,English,Le Labo,Physical laboratory and street context,Direct first-party asset,Research use only; copyrighted,included,EV-001,Space and service evidence,One location only
EV-008,Sandalwood Harvest film poster,https://lelabo.ips.photos/lelabo-java/images/cms/188_SMALL_IMAGE_01_12289_-987721857.jpg,evidence/visuals/EV-LL-005-sandalwood-harvest-film-poster.jpg,primary,image_candidate,photography-and-film,craftsperson-environmental-portrait,official gallery,current,2026-08-24,Australia,English,Le Labo,Worker material and environment,Direct first-party poster,Research use only; copyrighted,included,EV-009|EV-010,Craft photography evidence,Full film not reviewed
EV-009,Rose Harvest film poster,https://lelabo.ips.photos/lelabo-java/images/cms/186_SMALL_IMAGE_01_13228_2003511354.jpg,evidence/visuals/EV-LL-006-rose-harvest-film-poster.jpg,primary,image_candidate,photography-and-film,hands-ingredient-detail,official gallery,current,2026-08-24,France,English,Le Labo,Hands at work and ingredient materiality,Direct first-party poster,Research use only; copyrighted,included,EV-008|EV-010,Craft photography evidence,Full film not reviewed
EV-010,Neon Sign film poster,https://lelabo.ips.photos/lelabo-java/images/cms/450_SMALL_IMAGE_01_12295_2116627810.jpg,evidence/visuals/EV-LL-007-neon-sign-film-poster.jpg,primary,image_candidate,photography-and-film,craft-process-tool-detail,official gallery,current,2026-08-24,United States,English,Le Labo,Urban craft and tool action,Direct first-party poster,Research use only; copyrighted,included,EV-008|EV-009,Craft photography evidence,Full film not reviewed
